abbrev_my	work_pali	work_zh	kind	pcd	note
စူဠနိ-ဋ္ဌ	Cūḷaniddesa-aṭṭhakathā	小义释义注	aṭṭhakathā	*=137	
မဟာနိ-ဋ္ဌ	Mahāniddesa-aṭṭhakathā	大义释义注	aṭṭhakathā	*=136	
သုတ္တနိပါတ	Suttanipāta	经集	mūla	*=178	
ဥဒါန်းပါဠိတော်	Udāna-pāḷi	自说经巴利圣典	mūla	*=176	
စူဠနိ|စူဠနိဒ္ဒေသ	Cūḷaniddesa	小义释	mūla	*=169	
မဟာနိ|မဟာနိဒ္ဒေသ	Mahāniddesa	大义释	mūla	*=168	
ဝိမတိ|ဝိမတိဋီ	Vimativinodanī-ṭīkā	除疑复注	ṭīkā	*=267,268,269,270,271	book 210 的归属未在书目里写明，存疑
ဝိသုဒ္ဓိ-ဋီ	Visuddhimagga-ṭīkā	清净道论复注	ṭīkā	*=72,73	即大复注 Paramatthamañjūsā
ဝိ-သင်္ဂဟ	Vinayasaṅgaha	律摄	aṭṭhakathā	*=260	Vinayasaṅgaha-aṭṭhakathā
ဝိမာနဝတ္ထု	Vimānavatthu	天宫事	mūla	*=179	
ဣတိဝုတ္တက	Itivuttaka	如是语	mūla	*=177	
ကမ္မဋ္ဌာန်းကျမ်းကြီး	Kammaṭṭhāna-kyan-gyi	业处大典	burmese		缅文业处典
ကိုယ်ကျင့်အဘိဓမ္မာ	Koyakyint-Abhidhammā	实修阿毗达摩	burmese		缅文
ဇာတက	Jātaka	本生	mūla	*=167,166	148=第一册 147=第二册
ထေရဂါထာ	Theragāthā	长老偈	mūla	*=181	
ထေရီဂါထာ	Therīgāthā	长老尼偈	mūla	*=182	
နေတ္တိ-ဋ္ဌ	Nettippakaraṇa-aṭṭhakathā	导论义注	aṭṭhakathā	*=139	
ပရမတ္ထသရူပဘေဒနီ	Paramatthasarūpabhedanī	胜义自性分别	burmese		缅文阿毗达摩纲要
ပေတဝတ္ထု	Petavatthu	饿鬼事	mūla	*=180	
ဗုဒ္ဓဝံသ	Buddhavaṃsa	佛种姓经	mūla	*=164	
မဟာဋီကာနိဿယ	Mahāṭīkā-nissaya	大复注尼思耶	nissaya		底本 Visuddhimagga-mahāṭīkā=66,67
မူလပဏ္ဏာသ	Mūlapaṇṇāsa	根本五十经篇	mūla	*=183	
မူလပဏ္ဏာသ-ဋ္ဌ	Mūlapaṇṇāsa-aṭṭhakathā	根本五十经篇义注	aṭṭhakathā	*=148	
မူလပဏ္ဏာသပါဠိတော်	Mūlapaṇṇāsa-pāḷi	根本五十经篇巴利圣典	mūla	*=183	
မူလပဏ္ဏာသပါဠိတော်မြန်မာပြန်	Mūlapaṇṇāsa-pāḷi (Bur. tr.)	根本五十经篇巴利圣典缅译	nissaya		缅译；底本 Mūlapaṇṇāsa=164
ဝိနည်းသာရတ္ထဒီပနီဋီကာ	Vinaya-sāratthadīpanī-ṭīkā	律显扬心义复注	ṭīkā	*=251,252,253,254,255,256	
ဝိသုဒ္ဓိမဂ်မဟာဋီကာနိဿယ	Visuddhimagga-mahāṭīkā-nissaya	清净道论大复注尼思耶	nissaya		底本 Visuddhimagga-mahāṭīkā=66,67
အပဒါနပါဠိ	Apadāna-pāḷi	譬喻经巴利圣典	mūla	*=161,162,163	
အပဒါန်	Apadāna	譬喻经	mūla	*=161,162,163	
ဥပရိပဏ္ဏာသဋီကာ	Uparipaṇṇāsa-ṭīkā	后分五十经篇复注	ṭīkā	*=235	
